slice_file_name,fsID,start,end,salience,fold,classID,class
101415-3-0-2.wav,101415,1.0,5.0,1,1,3,dog_bark
101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark
101415-3-0-8.wav,101415,4.0,8.0,1,1,3,dog_bark
102106-3-0-0.wav,102106,2.243852,3.8844769999999995,2,1,3,dog_bark
102305-6-0-0.wav,102305,0.0,2.6116099999999998,1,1,6,gun_shot
102842-3-0-1.wav,102842,0.5,4.5,2,1,3,dog_bark
102842-3-1-0.wav,102842,113.06178500000001,117.06178500000001,2,1,3,dog_bark
102842-3-1-5.wav,102842,115.56178500000001,119.56178500000001,2,1,3,dog_bark
102842-3-1-6.wav,102842,116.06178500000001,120.06178500000001,2,1,3,dog_bark
103074-7-0-0.wav,103074,3.341279,7.341278999999999,1,1,7,jackhammer
103074-7-0-1.wav,103074,3.841279,7.841278999999999,1,1,7,jackhammer
103074-7-0-2.wav,103074,4.341279,8.341279,1,1,7,jackhammer
103074-7-1-0.wav,103074,22.517317000000002,26.517317,1,1,7,jackhammer
103074-7-1-1.wav,103074,23.017317000000002,27.017317,1,1,7,jackhammer
103074-7-1-2.wav,103074,23.517317000000002,27.517317,1,1,7,jackhammer
103074-7-1-3.wav,103074,24.017317000000002,28.017317,1,1,7,jackhammer
103074-7-1-4.wav,103074,24.517317000000002,28.517317,1,1,7,jackhammer
103074-7-1-5.wav,103074,25.017317000000002,29.017317,1,1,7,jackhammer
103074-7-1-6.wav,103074,25.517317000000002,29.517317,1,1,7,jackhammer
103074-7-2-0.wav,103074,42.347083000000005,43.727176,1,1,7,jackhammer
103074-7-3-0.wav,103074,46.632637,50.632637,1,1,7,jackhammer
103074-7-3-1.wav,103074,47.132637,51.132637,1,1,7,jackhammer
103074-7-3-2.wav,103074,47.632637,51.632637,1,1,7,jackhammer
103074-7-3-3.wav,103074,48.132637,52.132637,1,1,7,jackhammer
103074-7-4-0.wav,103074,60.651481999999994,64.651482,1,1,7,jackhammer
103074-7-4-1.wav,103074,61.151481999999994,65.151482,1,1,7,jackhammer
103074-7-4-2.wav,103074,61.651481999999994,65.651482,1,1,7,jackhammer
103074-7-4-3.wav,103074,62.151481999999994,66.151482,1,1,7,jackhammer
103074-7-4-4.wav,103074,62.651481999999994,66.651482,1,1,7,jackhammer
103074-7-4-5.wav,103074,63.151481999999994,67.151482,1,1,7,jackhammer
103074-7-4-6.wav,103074,63.651481999999994,67.651482,1,1,7,jackhammer
103258-5-0-0.wav,103258,0.0,4.0,1,1,5,engine_idling
103258-5-0-1.wav,103258,0.5,4.5,1,1,5,engine_idling
103258-5-0-10.wav,103258,5.0,9.0,1,1,5,engine_idling
103258-5-0-11.wav,103258,5.5,9.5,1,1,5,engine_idling
103258-5-0-12.wav,103258,6.0,10.0,1,1,5,engine_idling
103258-5-0-13.wav,103258,6.5,10.5,1,1,5,engine_idling
103258-5-0-14.wav,103258,7.0,11.0,1,1,5,engine_idling
103258-5-0-15.wav,103258,7.5,11.5,1,1,5,engine_idling
103258-5-0-16.wav,103258,8.0,12.0,1,1,5,engine_idling
103258-5-0-17.wav,103258,8.5,12.5,1,1,5,engine_idling
103258-5-0-18.wav,103258,9.0,13.0,1,1,5,engine_idling
103258-5-0-19.wav,103258,9.5,13.5,1,1,5,engine_idling
103258-5-0-2.wav,103258,1.0,5.0,1,1,5,engine_idling
103258-5-0-3.wav,103258,1.5,5.5,1,1,5,engine_idling
103258-5-0-4.wav,103258,2.0,6.0,1,1,5,engine_idling
103258-5-0-5.wav,103258,2.5,6.5,1,1,5,engine_idling
103258-5-0-6.wav,103258,3.0,7.0,1,1,5,engine_idling
103258-5-0-7.wav,103258,3.5,7.5,1,1,5,engine_idling
103258-5-0-8.wav,103258,4.0,8.0,1,1,5,engine_idling
103258-5-0-9.wav,103258,4.5,8.5,1,1,5,engine_idling
105415-2-0-1.wav,105415,0.5,4.5,1,1,2,children_playing
